tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
466665475594662000,,,2014-05-14 19:44:54 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1 ambrosia apple (173 g) http://t.co/WNftlDWvSt,,,,https://twitter.com/mizhnev/status/466665475594661888/photo/1
466803175098315000,,,2014-05-14 20:52:04 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",a vegetarian burger + a salad with fruity vinaigrette http://t.co/ZFUyuMiyRF,,,,https://twitter.com/mizhnev/status/466803175098314753/photo/1
466805878675362000,,,2014-05-14 21:32:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",i squeezed like 45 mL of honey directly into my mouth,,,,
466806052718010000,,,2014-05-14 22:03:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a small piece of crystallized ginger,,,,
466806320213942000,,,2014-05-14 23:04:34 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee with cream,,,,
466806399175889000,,,2014-05-15 03:04:53 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee without cream,,,,
466824002195816000,,,2014-05-15 06:14:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-grain bread toasts + margarine + roasted garlic hummus + old cheddar http://t.co/GcxZsiA7KF,,,,https://twitter.com/mizhnev/status/466824002195816448/photo/1
466828194847289000,,,2014-05-15 06:31:29 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",almonds http://t.co/74o7b2K6bu,,,,https://twitter.com/mizhnev/status/466828194847289345/photo/1
466831232035070000,,,2014-05-15 06:43:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0% vanilla greek yogurt + no-sugar-added raspberry jam + chia/hemp/buckwheat seed blend http://t.co/kHz7sn123C,,,,https://twitter.com/mizhnev/status/466831232035069952/photo/1
466834711856157000,,,2014-05-15 06:57:23 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",crystallized ginger (unknown amount) http://t.co/o1suLtcwOD,,,,https://twitter.com/mizhnev/status/466834711856156672/photo/1
467007512349143000,,,2014-05-15 18:24:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",approx. 250 mL of coffee http://t.co/RNR174whMu,,,,https://twitter.com/mizhnev/status/467007512349143040/photo/1
467007837168603000,,,2014-05-15 18:25:19 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1 whole wheat bread toast + no-additive peanut butter + no-sugar-added raspberry jam http://t.co/RCXnI0KLD7,,,,https://twitter.com/mizhnev/status/467007837168603136/photo/1
467018734771532000,,,2014-05-15 19:08:37 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a grapefruit (352 g) http://t.co/iMgc34XV4Y,,,,https://twitter.com/mizhnev/status/467018734771531776/photo/1
467018884772409000,,,2014-05-15 19:09:13 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cup of coffee http://t.co/euJK7Hxf8Z,,,,https://twitter.com/mizhnev/status/467018884772409345/photo/1
467035883036607000,,,2014-05-15 20:16:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",crystallized ginger http://t.co/c9dwHdEuxs,,,,https://twitter.com/mizhnev/status/467035883036606464/photo/1
467104001108873000,,,2014-05-16 00:47:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",green tea http://t.co/M9zwgDlz0o,,,,https://twitter.com/mizhnev/status/467104001108873216/photo/1
467104222547169000,,,2014-05-16 00:48:19 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",miso soup http://t.co/Wi84a8fDJn,,,,https://twitter.com/mizhnev/status/467104222547169280/photo/1
467104410716234000,,,2014-05-16 00:49:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fried tofu http://t.co/0GBkD7Clbp,,,,https://twitter.com/mizhnev/status/467104410716233728/photo/1
467104528647479000,,,2014-05-16 00:49:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tuna http://t.co/AYGmqntyiq,,,,https://twitter.com/mizhnev/status/467104528647479297/photo/1
467104635937772000,,,2014-05-16 00:49:58 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",some different maki http://t.co/C5bl6d9zH0,,,,https://twitter.com/mizhnev/status/467104635937771520/photo/1
467198051199644000,,,2014-05-16 07:01:10 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 whole wheat bread toasts + margarine + roasted garlic hummus + old cheddar http://t.co/M9gULNGwmJ,,,,https://twitter.com/mizhnev/status/467198051199643648/photo/1
467214627466510000,,,2014-05-16 08:07:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orange juice http://t.co/0hev8vkR8i,,,,https://twitter.com/mizhnev/status/467214627466510336/photo/1
467405790949548000,,,2014-05-16 20:46:39 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0% vanilla greek yogurt (185 g) + no-sugar-added raspberry jam (15 g) + chia/hemp/buckwheat seed blend (51 g) + almonds (21 g) http://t.co/HrhBqgiIXa,,,,https://twitter.com/mizhnev/status/467405790949548032/photo/1
467425646382031000,,,2014-05-16 22:05:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1 whole wheat bread toast + margarine + 1 sprouted-grain bread toast + margarine + sugar snap peas + olives http://t.co/QuxldzH57d,,,,https://twitter.com/mizhnev/status/467425646382030848/photo/1
467450766228075000,,,2014-05-16 23:45:22 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee http://t.co/zOrxSGQAAR,,,,https://twitter.com/mizhnev/status/467450766228074496/photo/1
467456328621765000,,,2014-05-17 00:07:28 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee http://t.co/80Us02X5Tb,,,,https://twitter.com/mizhnev/status/467456328621764608/photo/1
467575712002482000,,,2014-05-17 08:01:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4 kale stems + 2 campari tomatoes + 1 garlic clove + olive oil + balsamic vinegar + salt + pepper http://t.co/zZWvKm9sZk,,,,https://twitter.com/mizhnev/status/467575712002482176/photo/1
467576889687544000,,,2014-05-17 08:06:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",grilled cheese sandwich (2 whole wheat breads + margarine + old cheddar) http://t.co/eRuH66q8yR,,,,https://twitter.com/mizhnev/status/467576889687543808/photo/1
467756138595746000,,,2014-05-17 19:58:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/kUsMIaU41V,,,,https://twitter.com/mizhnev/status/467756138595745792/photo/1
467756314483888000,,,2014-05-17 19:59:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-grain bread toasts + peanut butter + raspberry jam http://t.co/JGHPspsGhk,,,,https://twitter.com/mizhnev/status/467756314483888128/photo/1
467763247374819000,,,2014-05-17 20:27:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee http://t.co/53ux8pzVAn,,,,https://twitter.com/mizhnev/status/467763247374819328/photo/1
467764424493654000,,,2014-05-17 20:31:44 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a gala apple (151 g) http://t.co/B2GyVpqbVr,,,,https://twitter.com/mizhnev/status/467764424493654016/photo/1
467784665563029000,,,2014-05-17 21:52:09 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half  http://t.co/7HEvJxudRf,,,,https://twitter.com/mizhnev/status/467784665563029504/photo/1
467831740992483000,,,2014-05-18 00:59:13 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a handful of almonds http://t.co/Frn2gI9jKC,,,,https://twitter.com/mizhnev/status/467831740992483328/photo/1
467837392041153000,,,2014-05-18 01:21:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",earl grey tea http://t.co/SO381mXTV3,,,,https://twitter.com/mizhnev/status/467837392041152512/photo/1
